0 143 4448.4248258075459 1205485.1248168945 0.19748425574961004 |[[ 0.20747955  0.47822233  0.00369375]]|
0 126 1797.9980316012247 1776001.5395507812 0.18429326317603723 |[[ 0.09850995  0.43855149  0.01646871]]|
1 328 5366.7760519735921 2941504.3596191406 0.24645498206176231 |[[ 0.45548498  0.56969036 -0.00674497]]|
2 455 3463.5035301942721 3006810.076171875 0.20412252991373109 |[[ 0.54640694  0.82092399 -0.01878464]]|
3 611 3767.3676237989407 2325097.013671875 0.21080568067470953 |[[-0.11982702  0.35370091 -0.1750473 ]]|
4 758 4610.2045405954759 2064402.7756347656 0.20015230087944141 |[[ 0.19607777  0.99416758  0.37922888]]|
5 879 4332.4767978036689 1374241.1602783203 0.19331271662151692 |[[ 0.54178809  0.54700905 -0.03510271]]|
6 988 4650.3693257824261 1340445.7092285156 0.23531134886324556 |[[ 0.43731906  0.46545113 -0.21289505]]|
7 1134 4206.8521520289769 1381165.1616210938 0.24000813128427853 |[[ 0.04786295  0.27083688 -0.20446467]]|
8 1264 4074.2252121332344 1314407.1318359375 0.19085725967049735 |[[ 0.53685898  0.39654884 -0.19676557]]|
9 1375 4774.2532311862733 1022498.705078125 0.21373124121965068 |[[ 0.54820513  0.76086183  0.07251868]]|
10 1492 3789.625478006345 1496769.9831542969 0.17969270925951794 |[[ 0.18086196  0.42284753 -0.00131179]]|
11 1612 4920.531438388628 1012472.9611816406 0.22200085467943007 |[[ 0.22091605  0.32151601  0.05541714]]|
12 1724 4990.7284866424998 982296.38415527344 0.21215074563152506 |[[ 0.35152121  0.71863802 -0.12902928]]|
13 1837 4389.6846017503958 1014206.3890380859 0.20123347681937856 |[[ 0.05402364  0.5818847  -0.03020696]]|
14 1941 4560.1959464609427 742345.71069335938 0.22816944478335932 |[[ 0.63547525  0.45793521 -0.05153619]]|
15 2078 2549.4132842148056 1323817.1850585938 0.22836384385233857 |[[-0.45273266  0.75370127 -0.12157935]]|
16 2195 5098.2784494271082 1074837.3668212891 0.22924514614269306 |[[-0.00299088  0.53191005 -0.13186715]]|
17 2333 4817.7896722132118 1165543.0595703125 0.19023232805080775 |[[-0.03406946  0.60661137 -0.17852377]]|
18 2436 4997.9095431551423 774168.68786621094 0.246072024421224 |[[-0.14601987  0.41020252 -0.05628164]]|
19 2509 1889.3706542023076 616059.61791992188 0.1731688551617106 |[[ 0.08201411  0.68284103 -0.06646454]]|
20 2612 5151.5421281216377 982321.32739257812 0.25243409144965606 |[[-0.32732123  0.13840694 -0.10317728]]|
21 2716 4147.9112487966113 914723.71459960938 0.22605026554899682 |[[-0.2085458   0.71752927 -0.08807687]]|
22 2824 5205.1538320165382 826237.90600585938 0.25916620983119226 |[[ 0.29823804  0.61486196 -0.08866055]]|
23 2943 4610.0737707824519 1040743.6982421875 0.22042451163011284 |[[-0.01511159  0.52753778 -0.08845356]]|
24 3076 4827.6698338520609 1042366.56640625 0.20875901647132916 |[[ 0.37530632  0.30543118 -0.14840914]]|
25 3163 2404.993797595745 814873.4169921875 0.20285832113248847 |[[ 0.44045423  0.72137079  0.27772189]]|
26 3300 2586.459634520686 1281163.8186035156 0.15528077799679202 |[[-0.43415979  0.44339242 -0.09888589]]|
27 3412 4385.8430761760737 1097767.7409667969 0.23106942164578748 |[[ 0.29703986  0.55994094 -0.17955858]]|
28 3568 4620.9358802927882 1544465.4265136719 0.18517466838311222 |[[ 0.12462921  0.60431447 -0.05912809]]|
29 3690 4662.0063013119052 1224099.2819824219 0.21455071189105282 |[[ 0.10693508  0.80119223 -0.16260022]]|
30 3802 4805.2327836708255 1086970.0100097656 0.20437356771421222 |[[ 0.18952109  0.684225   -0.13680831]]|
31 3876 2695.5735293382518 772703.42358398438 0.18606743628480732 |[[ 0.19515794  0.85313485 -0.14098256]]|
