0 3346 -718.39468561949286 40118.505520438775 |[[-0.67577951  0.80540928  0.34593495]]|
1 3876 -15.666920652179837 1613.3924340042286 |[[-0.61927156  0.88900652  0.07499222]]|
2 3894 -278.19589622279904 3.0326410047709942 |[[-0.56928268  0.79139057 -0.03287875]]|
3 3912 -337.10154304817883 242.61628403514624 |[[-0.69831639  0.79763922 -0.03351674]]|
4 3930 -276.93844388666486 128.32750020176172 |[[-0.3188321   0.83277429 -0.05545343]]|
5 3948 -270.39883397401815 1064.8172033727169 |[[-0.58375306  0.67629732 -0.05643236]]|
6 3966 -250.31043416227266 197.78815547376871 |[[-0.6664728   0.75415069 -0.00660428]]|
7 3984 -236.23124582186085 436.6990682631731 |[[-0.61166168  0.8853624  -0.04787192]]|
8 4002 -150.74075067672231 462.78968929499388 |[[-0.49777626  0.69344814 -0.00963823]]|
9 4026 -182.25978324222578 178.12141638994217 |[[-0.6067205   0.80987583  0.1727504 ]]|
10 4188 35.997264496335298 3694.1218905355781 |[[-0.47186238  0.80169828  0.09356094]]|
11 4241 -173.51390878810378 1444.2741746380925 |[[-0.6025842   0.84168574  0.04753138]]|
12 4269 -190.2608437952137 1815.7814643979073 |[[-0.66592487  0.82150063  0.03656496]]|
13 4336 -152.88809862892046 4602.1350409165025 |[[-0.63291311  0.84604419 -0.01539892]]|
14 4541 -72.081619713399746 2862.6716802455485 |[[-0.61798019  0.84425436  0.12085117]]|
15 4690 -92.432600839871697 1960.7356056794524 |[[-0.63335444  0.82162882  0.18196524]]|
16 4853 -114.90603620041026 2626.5577689632773 |[[-0.57611143  0.80662936  0.36711102]]|
17 4930 5.0683152997067227 1190.6015751063824 |[[-0.58093332  0.80356255  0.12014364]]|
18 5251 -94.477640419209507 4993.0785018801689 |[[-0.68805818  0.83123876  0.47678016]]|
19 15251 -99.747966888273908 54590.912070070859 |[[ 1.  1.  1.]]|
20 25251 12135.592036142101 26948.197053879499 |[[  1.00000000e+00   1.00000000e+00   3.79807898e-06]]|
21 35251 13002.397769981384 24347.365252277814 |[[  1.00000000e+00   1.00000000e+00   1.42921635e-07]]|
22 36233 1409.8376173118302 2676.1743676774204 |[[ -9.99496341e-01   1.00000000e+00   1.17795127e-04]]|
23 37758 41.06249432759671 6357.9916350860149 |[[-0.99999988  1.          1.        ]]|
24 47758 55.544587091643912 40769.412101594731 |[[-0.99999994  1.          0.99978215]]|
25 49754 69.24859610145063 6560.5649943463504 |[[-0.99999994  1.          1.        ]]|
26 53203 26.114769026625172 10096.877302410081 |[[-0.99999958  1.          1.        ]]|
27 58856 98.314886796496253 8232.7782288771123 |[[ 1.  1.  1.]]|
28 68856 6639.2377762717351 11457.038922632113 |[[  9.99935210e-01   1.00000000e+00   2.12887007e-05]]|
29 78856 12205.032400746457 10631.95265568234 |[[  9.99979734e-01   1.00000000e+00   4.74709232e-04]]|
30 83317 5898.0871229733129 6102.9388902708888 |[[-0.03785252  1.          0.07325086]]|
31 83673 190.26276942921726 345.87143965438008 |[[ 0.99916911  1.          0.032325  ]]|
32 86286 4667.6442367419759 5480.598273769021 |[[ 0.71685934  1.          0.02265767]]|
