 carTrackSensors7, carTrackSensors9, carTrackSensors11, carAngleToTrack, carTrackOffset, carSpeed, carSteer
0.060677,0.340804,0.157833,0.00370166,0.451018,0.44296,0.502221
0.0140167,0.219072,0.137526,0.0163429,0.884151,0.221519,0.643139
0.0145535,0.225019,0.139674,-0.00445125,0.873952,0.226351,0.497329
0.033745,0.215201,0.134268,-0.0821645,0.687005,0.337004,0.584035
0.0138091,0.221793,0.138916,0.00493922,0.882603,0.302277,0.502964
0.0552715,0.401783,0.145772,0.0849765,0.632455,0.363981,0.5
0.088112,0.19517,0.116995,-0.0430981,0.470053,0.456742,0.607474
0.148932,0.375293,0.0564115,0.0513703,-0.466652,0.529583,0.530822
0.0156977,0.211837,0.13691,-0.0301972,0.858405,0.234673,0.615215
0.110217,0.337492,0.109173,0.0720134,0.00899251,0.521706,0.5
0.0323592,0.318605,0.176971,0.0321191,0.725414,0.751917,0.5
0.0785035,0.314217,0.14037,0.00309089,0.288782,0.432647,0.501855
0.0195872,0.4301,0.208158,-0.0207168,0.813391,0.615337,0.354237
0.113581,0.244205,0.106098,0.0727415,-0.238057,0.503099,0.410312
0.145894,0.343686,0.0496203,-0.00249347,-0.580052,0.469881,0.365171
0.105223,0.291803,0.113399,0.181433,0.365384,0.430218,0.5
0.0161652,0.225082,0.139989,-0.0134166,0.858077,0.230335,0.49195
0.0315448,0.217546,0.135941,-0.0894718,0.699796,0.381372,0.57965
0.0306372,0.394184,0.16996,0.0630037,0.758888,0.299933,0.5
0.151045,0.36289,0.0474968,0.0229367,-0.572675,0.472794,0.513762
0.169828,0.366733,0.0290146,-0.068251,-0.774706,0.644409,0.5
0.0118552,0.208029,0.135738,-0.00358912,0.897331,0.194705,0.497847
0.0214991,0.260044,0.145864,0.00530311,0.81797,0.296575,0.636515
0.0236253,0.27083,0.149604,-0.029351,0.784908,0.311208,0.482389
0.117461,0.283789,0.107034,-0.113531,0.00140788,0.522151,0.565215
0.0293334,0.27987,0.181191,0.054754,0.764311,0.71294,0.5
0.0403853,0.499095,0.191428,-0.0381256,0.601532,0.582794,0.5
0.179994,0.499414,0.053663,0.052019,-0.456049,0.571583,0.5
0.0231171,0.216049,0.137333,-0.0655981,0.782662,0.348985,0.593975
0.0213283,0.279433,0.145342,0.00976718,0.821229,0.308605,0.639194
0.179995,0.507305,0.0533525,0.0507936,-0.460464,0.570353,0.5
0.100588,0.330223,0.121199,0.0805511,0.123824,0.50131,0.5
0.057656,0.333917,0.141878,0.113163,0.604461,0.379687,0.5
0.0191566,0.210828,0.135602,-0.0319744,0.829453,0.258392,0.614149
0.0617005,0.287391,0.151321,0.000740088,0.438155,0.411722,0.500444
0.0300338,0.274594,0.148989,-0.0503256,0.718844,0.393393,0.469805
0.0446886,0.480052,0.188518,-0.0444069,0.553615,0.594067,0.5
0.0169538,0.203587,0.132366,0.0093166,0.861457,0.262054,0.638923
0.087152,0.223435,0.120632,-0.218251,0.129576,0.381724,0.502383
0.050947,0.251455,0.14533,-0.136891,0.410651,0.424992,0.551199
0.07196,0.32021,0.131367,0.134236,0.537087,0.404425,0.5
0.0758835,0.561495,0.155255,-0.0673503,0.208332,0.61331,0.5
0.0933455,0.314086,0.131328,0.0719928,0.179327,0.494397,0.409862
0.0284027,0.50417,0.188363,0.00731186,0.745044,0.733036,0.5
0.151917,0.366811,0.0462571,0.0230241,-0.583053,0.471099,0.513814
0.0123514,0.205199,0.134134,0.0098193,0.896623,0.19685,0.639225
0.120121,0.265825,0.111022,0.00313248,0.425633,0.479718,0.635213
0.0288021,0.305909,0.176192,0.0509328,0.766383,0.661016,0.5
0.120536,0.345212,0.0954285,0.0625102,-0.120744,0.560988,0.5
0.104784,0.303046,0.120355,-0.150894,-0.259439,0.498714,0.542797
0.0438822,0.288349,0.148886,-0.110605,0.551579,0.446575,0.56697
0.198881,0.53174,0.0200061,-0.00103183,-0.81794,0.629266,0.5
0.0393339,0.268911,0.188492,0.0693178,0.695419,0.772841,0.5
0.0121122,0.316849,0.140696,-0.00437171,0.895055,0.227257,0.497377
0.106726,0.309728,0.112296,-0.111241,0.0696655,0.485583,0.566589
0.06778,0.520635,0.165394,-0.0645399,0.296548,0.620234,0.5
0.141725,0.351019,0.061193,0.0233958,-0.459027,0.513353,0.380704
0.0706395,0.333828,0.147745,0.123752,0.484809,0.398611,0.5
0.151467,0.313759,0.0494696,-0.0906338,-0.638121,0.660786,0.578953
0.0141677,0.219174,0.137543,0.0156223,0.882779,0.262531,0.642707
0.0419856,0.56306,0.186519,-0.0293678,0.592906,0.790024,0.5
0.099187,0.300261,0.117314,0.168978,0.41585,0.412655,0.5
0.099305,0.241649,0.11592,-0.016915,0.501569,0.461599,0.623184
0.054184,0.303733,0.126327,-0.0352844,0.598529,0.432004,0.612163
0.198689,0.455769,0.0326593,0.0334503,-0.680734,0.569694,0.52007
0.142563,0.358251,0.06206,0.0350291,-0.437594,0.574143,0.387684
0.0303388,0.267212,0.14602,-0.029843,0.728594,0.412786,0.615428
0.0268801,0.266559,0.146862,-0.0223778,0.761205,0.350282,0.619907
0.099893,0.299523,0.116901,0.167521,0.407143,0.416306,0.5
0.0904355,0.306889,0.135802,0.0676979,0.200446,0.487853,0.407285
0.107015,0.308569,0.112087,-0.120344,0.0475861,0.49948,0.561127
0.0134302,0.221255,0.138736,0.0079457,0.886439,0.256082,0.504767
0.111716,0.51286,0.107425,-0.0545096,-0.262253,0.532802,0.5
0.0127266,0.204168,0.133515,0.0143946,0.894867,0.189047,0.64197
0.0281202,0.547555,0.142207,0.121923,0.845422,0.274626,0.573154
0.0555835,0.524275,0.177353,-0.0512499,0.437409,0.572698,0.5
0.0157677,0.224146,0.139623,-0.00871268,0.862812,0.244159,0.494772
0.0202495,0.362845,0.148569,-0.00946953,0.821931,0.310051,0.494318
0.0136511,0.222507,0.139307,0.00216707,0.883108,0.219969,0.5013
0.0377227,0.457279,0.186853,-0.0163819,0.643815,0.742758,0.5
0.0144466,0.223563,0.139647,-0.00380343,0.875006,0.25441,0.497718
0.118177,0.200368,0.113882,-0.110951,0.277784,0.390452,0.566763
0.0135546,0.221871,0.139013,0.00506791,0.884671,0.237283,0.503041
0.112486,0.22906,0.107653,0.119858,-0.123306,0.493686,0.438581
0.184867,0.382636,0.0216102,-0.0366044,-0.818551,0.649615,0.5
0.145412,0.347109,0.052205,0.0059573,-0.550993,0.475083,0.370241
0.183945,0.534425,0.0479939,0.0426961,-0.522195,0.581163,0.5
0.167908,0.56757,0.063885,0.0547801,-0.349021,0.565778,0.5
0.139621,0.357407,0.06711,0.0405016,-0.388566,0.621163,0.390968
0.0131002,0.470463,0.211527,-0.0124514,0.877314,0.61148,0.5
0.0157521,0.206464,0.134092,-0.00324973,0.866442,0.221423,0.631384
0.0140429,0.218177,0.13708,0.0202067,0.885037,0.265748,0.645457
0.189287,0.530965,0.0418948,0.0371014,-0.587472,0.604317,0.5
0.0230706,0.265641,0.147668,-0.013608,0.796867,0.310189,0.491835
0.0417521,0.57591,0.188326,-0.0338709,0.591504,0.570353,0.5
0.100934,0.294881,0.116481,0.16986,0.39531,0.431698,0.468583
0.0266252,0.56575,0.140014,0.120257,0.85425,0.268112,0.572154
0.112327,0.48679,0.106438,-0.032682,-0.272508,0.529198,0.5
0.123597,0.349549,0.09141,0.0629798,-0.152563,0.568659,0.5
0.0141884,0.217924,0.136925,0.0210554,0.884167,0.239328,0.645967
0.141377,0.358389,0.0642645,0.03813,-0.415342,0.570746,0.389545
0.015976,0.215663,0.135443,0.027865,0.872855,0.245126,0.650052
0.0219127,0.21699,0.138112,-0.0677914,0.791887,0.345791,0.592659
0.0132066,0.20622,0.134496,0.00293326,0.888152,0.195972,0.635093
0.065582,0.356171,0.147009,0.120956,0.549472,0.386881,0.5
0.111648,0.257934,0.107327,0.215939,0.153503,0.455115,0.49623
0.03481,0.57201,0.191701,-0.0212511,0.668,0.764206,0.5
0.180085,0.391055,0.022238,-0.0502757,-0.819333,0.653579,0.5
0.113059,0.377627,0.105471,0.0253289,-0.285511,0.522552,0.5
0.0254473,0.258764,0.153638,-0.00238883,0.766711,0.541992,0.498567
0.065673,0.197356,0.120596,-0.03676,0.545641,0.424266,0.611277
0.123091,0.59553,0.100914,0.0876289,0.0921157,0.521786,0.5
0.0120435,0.207058,0.135182,0.00094795,0.896894,0.186661,0.500569
0.0905275,0.198444,0.116911,-0.074876,0.40247,0.43302,0.588408
0.039172,0.346227,0.162064,0.0692159,0.696594,0.354988,0.408196
0.0154748,0.225866,0.140542,-0.0154531,0.863109,0.225786,0.490728
0.0738545,0.31663,0.130234,0.137271,0.529455,0.403651,0.5
0.0463172,0.267911,0.187885,0.0653618,0.637674,0.69706,0.5
0.132121,0.251301,0.0969095,-0.158282,-0.20093,0.542817,0.538364
0.0138268,0.208822,0.135736,-0.0114569,0.879302,0.214661,0.626459
0.0154153,0.218428,0.136904,0.0166276,0.873501,0.218306,0.64331
0.07244,0.297043,0.155204,0.0899128,0.40662,0.425683,0.5
0.0599,0.50868,0.173779,-0.0576205,0.386332,0.617667,0.5
0.116076,0.339025,0.101361,0.0621521,-0.0739461,0.545548,0.5
0.175837,0.532405,0.056909,0.0517175,-0.423476,0.577734,0.5
0.130675,0.347664,0.080095,0.0440333,-0.277061,0.608147,0.393087
0.12874,0.354801,0.0844305,0.0605515,-0.214392,0.588452,0.5
0.0355237,0.326809,0.169478,0.0523037,0.712836,0.749198,0.5
0.148265,0.371002,0.056069,0.045099,-0.476636,0.513794,0.527059
0.02084,0.264077,0.147698,-0.00550574,0.818698,0.286812,0.496697
0.0221222,0.257553,0.144683,0.0117616,0.815911,0.293751,0.64039
0.0139578,0.22229,0.139129,0.00253437,0.880745,0.225921,0.501521
0.0153899,0.219142,0.137257,0.0135501,0.872743,0.293785,0.641463
0.0310793,0.23578,0.141119,-0.0855836,0.69941,0.490075,0.581983
0.0147468,0.223962,0.139773,-0.00604859,0.871914,0.217582,0.496371
0.0198965,0.219436,0.136392,0.00412262,0.835108,0.271073,0.635807
0.0202318,0.224814,0.138877,-0.0197715,0.822881,0.314286,0.62147
0.0209496,0.263619,0.147478,-0.00434597,0.818287,0.290029,0.497392
0.119302,0.34627,0.0937245,-0.0989952,-0.388666,0.493413,0.440603
0.0210864,0.51937,0.196345,0.00490582,0.809718,0.728063,0.5
0.177962,0.52437,0.054929,0.0505708,-0.444759,0.563579,0.5
0.0667085,0.308274,0.143895,-0.0717134,0.302556,0.46246,0.590305
0.147675,0.540825,0.0829215,0.0779107,-0.118058,0.546734,0.5
0.104467,0.332193,0.116502,0.0757383,0.0754008,0.505663,0.5
0.14743,0.54973,0.082905,0.0764261,-0.120596,0.540968,0.5
0.0254311,0.233272,0.141558,-0.0647664,0.759392,0.470111,0.594474
0.207978,0.464031,0.0188283,0.0183686,-0.821487,0.619579,0.5
0.0217883,0.260397,0.145924,0.00379562,0.815024,0.297733,0.635611
0.015283,0.510525,0.20964,-0.0134131,0.856584,0.594865,0.5
0.0234648,0.393207,0.190296,0.0153896,0.793111,0.66506,0.5
0.0142807,0.223669,0.139738,-0.00394793,0.876312,0.214852,0.497631
0.0168597,0.209371,0.135362,-0.0201633,0.85217,0.247139,0.621235
0.208349,0.475219,0.0179709,0.0170736,-0.830072,0.586639,0.5
0.0141064,0.222546,0.139221,0.00116834,0.879171,0.268694,0.500701
0.0344539,0.500085,0.196089,-0.0320725,0.664116,0.614405,0.5
0.062726,0.297133,0.142844,-0.0979204,0.33705,0.453008,0.574581
0.082233,0.19894,0.1182,-0.0691485,0.436093,0.435726,0.591844
0.0126851,0.209023,0.136089,-0.0102147,0.888937,0.193326,0.493871
0.115644,0.335681,0.101835,0.0577338,-0.0792297,0.546294,0.401307
0.0141236,0.243497,0.137474,0.0163993,0.883341,0.262514,0.643173
0.112715,0.395165,0.106079,0.0108538,-0.289138,0.523968,0.5
0.119134,0.277486,0.105567,-0.130561,-0.0506287,0.488087,0.554997
0.0895525,0.34088,0.126442,-0.0812541,0.196878,0.502619,0.584581
0.132109,0.360308,0.08021,0.062453,-0.246613,0.586567,0.5
0.127111,0.354728,0.0868745,0.063923,-0.188308,0.574179,0.5
0.0160861,0.243836,0.149393,0.00118412,0.853661,0.485226,0.50071
0.144656,0.36313,0.0598595,0.0390755,-0.451131,0.524135,0.523445
0.105527,0.328237,0.115421,0.067695,0.048175,0.512258,0.5
0.133131,0.357038,0.0779635,0.0547041,-0.277686,0.607639,0.5
0.0356459,0.278585,0.148532,-0.070591,0.656888,0.410468,0.590979
0.144606,0.243077,0.090689,-0.154459,-0.25901,0.572738,0.540658
0.018762,0.208913,0.134708,-0.0215523,0.836554,0.273492,0.620402
0.078951,0.298745,0.149143,0.0797074,0.331297,0.44175,0.414491
0.126666,0.473219,0.072832,-0.0719398,-0.507316,0.497544,0.456836
0.066206,0.200583,0.121364,-0.0582175,0.513314,0.416972,0.598403
0.0711845,0.327801,0.148572,0.121916,0.470813,0.404766,0.5
0.084869,0.344833,0.128889,-0.0900314,0.236547,0.495833,0.5
0.055843,0.300201,0.147409,-0.131023,0.392827,0.465345,0.55472
0.0310802,0.559815,0.200415,-0.0332024,0.696322,0.715036,0.5
0.0219047,0.257913,0.144823,0.0115155,0.817491,0.298316,0.640243
0.0487085,0.224634,0.213434,0.0586652,0.558726,0.698401,0.401866
0.112864,0.230546,0.106653,0.117961,-0.132391,0.487393,0.437443
0.115322,0.249508,0.0997675,0.0864485,-0.233619,0.501353,0.418536
0.0278513,0.259009,0.143623,-0.00167719,0.764807,0.367233,0.632327
0.026083,0.257491,0.143544,0.0056976,0.782423,0.321667,0.636752
0.199599,0.430003,0.0198553,0.000435341,-0.818739,0.645619,0.5
0.151546,0.374459,0.05138,0.0438413,-0.518809,0.493429,0.526305
0.147166,0.355084,0.0519695,0.017417,-0.540967,0.482639,0.51045
0.208433,0.478461,0.0170801,0.0150456,-0.839173,0.614345,0.5
0.109993,0.248062,0.110279,0.212915,0.107284,0.457567,0.494416
0.0161111,0.211101,0.13643,-0.0273554,0.855884,0.249422,0.61692
0.0407521,0.282819,0.148159,-0.0905965,0.596632,0.415016,0.578975
