2 189 -241.39415972323843 18664.641774654388 |[[ 0.2091492   0.4515829   0.05046554]]|
0 77 -25.727687242139581 5085.6445422172546 |[[ 0.31179728  0.66639876  0.03669419]]|
1 111 -312.34202627491948 8338.3252425193787 |[[ 0.18816465  0.5184833   0.12738745]]|
2 188 -241.08381081655932 25750.982720851898 |[[ 0.32908098  0.56137751  0.03129772]]|
3 265 -120.38144459043956 44763.380509853363 |[[  4.63845055e-01   5.05585483e-01  -1.75862327e-04]]|
4 298 -336.93419014376559 53931.468827724457 |[[ 0.36635007  0.56605159  0.12316411]]|
5 375 -152.28618568676814 77431.466401576996 |[[ 0.39879651  0.57421014  0.10112117]]|
6 452 -171.19512600063214 101992.01715993881 |[[ 0.36831738  0.4018742   0.02698488]]|
0 77 -139.1524227044408 21864.452134402003 |[[-0.43950654  0.76562876  0.03669119]]|
0 71 -267.58807764353389 20807.26985424757 |[[-0.26353426  0.59923984 -0.09717882]]|
1 94 -216.31095031920322 25164.463693320751 |[[-0.47242021  0.57010285 -0.10722702]]|
2 116 -277.54426903591349 29218.192992389202 |[[-0.39931847  0.61796976 -0.03702084]]|
3 137 -233.12563238857607 33631.704242885113 |[[-0.69166013  0.62787236 -0.121329  ]]|
0 77 -288.01624460090113 35030.592285841703 |[[-0.30058454  0.76562876 -0.07021924]]|
1 154 -200.18639191301267 45402.775920122862 |[[-0.27531319  0.5017252  -0.04269009]]|
2 233 -280.22520775222767 62788.157189577818 |[[-0.36146377  0.73805577 -0.13602471]]|
3 310 -281.87364310099849 75846.735058277845 |[[-0.48325404  0.49767222 -0.10854578]]|
4 387 -298.91383279448456 85963.801148384809 |[[-0.37252992  0.62545218 -0.08855691]]|
5 464 -215.08898280337368 94898.003572434187 |[[-0.62834539  0.72521917 -0.07368987]]|
6 541 -265.8896553327412 103429.39573857188 |[[-0.2939114   0.60036467  0.01567823]]|
7 619 -193.2913609326007 111538.35379287601 |[[-0.59978291  0.73597665  0.1049669 ]]|
8 696 -304.6851969263414 121323.5566637218 |[[-0.2990132   0.55195123  0.05072055]]|
9 773 -264.52134085011136 131823.61860391498 |[[-0.09810558  0.62229347  0.11166275]]|
10 850 -237.49845872151243 137680.41210243106 |[[-0.58331212  0.69185289  0.12563521]]|
11 928 -272.30652383800657 143413.86767694354 |[[-0.59010375  0.77818081  0.19385591]]|
12 1005 -335.22544970925253 146733.26757952571 |[[-0.3082577   0.57268893  0.07200285]]|
13 1082 -218.47585611578504 150144.39672705531 |[[-0.2155059   0.66648406  0.14071418]]|
14 1103 -242.81288453777256 151546.336307019 |[[-0.55669881  0.58347108  0.02233814]]|
15 1181 -259.88831367155126 155690.79577490687 |[[-0.44985841  0.62186801  0.12986147]]|
16 1258 -269.87878340284652 159034.46800991893 |[[-0.21572949  0.85274658  0.22256305]]|
17 1336 -252.62148465016313 162950.24642893672 |[[-0.29286714  0.70940953  0.11054337]]|
18 1414 -302.34665983501372 166476.00464722514 |[[-0.43991269  0.72892401  0.11978384]]|
19 1435 -308.50833803620282 167148.26401278377 |[[-0.46795312  0.60245047  0.11701982]]|
20 1512 -230.58907840040123 170649.63276001811 |[[-0.4130163   0.72293581  0.25985004]]|
21 1589 -254.29156976197103 173534.91884967685 |[[-0.36829992  0.67038295  0.15659519]]|
22 1666 -274.70660030084781 175339.16160914302 |[[-0.57161685  0.68463345  0.1705631 ]]|
